alpha,min_area,open_size,close_size,AP50
3,500,3,7,0.15991765048127723
3,500,3,11,0.17038916271520638
3,500,3,13,0.17312622075168865
3,500,5,7,0.10829432501270875
3,500,5,11,0.13962914928441295
3,500,5,13,0.15854538796412324
3,1000,3,7,0.2585958837544761
3,1000,3,11,0.2511450859140033
3,1000,3,13,0.2420869030045888
3,1000,5,7,0.1592572103537238
3,1000,5,11,0.2059999550059788
3,1000,5,13,0.23104554367176952
3,2000,3,7,0.26726547241546805
3,2000,3,11,0.261680372364825
3,2000,3,13,0.2522108516847193
3,2000,5,7,0.1754940862510988
3,2000,5,11,0.21804955133844073
3,2000,5,13,0.2368882228625598
5,500,3,7,0.15258720438235493
5,500,3,11,0.1895607218223242
5,500,3,13,0.210276292055171
5,500,5,7,0.0635783532967523
5,500,5,11,0.10633244153821707
5,500,5,13,0.12222571105045714
5,1000,3,7,0.1897369932640458
5,1000,3,11,0.22952729203771421
5,1000,3,13,0.25412758909378363
5,1000,5,7,0.08250882830926483
5,1000,5,11,0.13190214939624018
5,1000,5,13,0.14972030824073881
5,2000,3,7,0.21328955677629685
5,2000,3,11,0.23349966279147705
5,2000,3,13,0.2484152427366647
5,2000,5,7,0.1087240470481945
5,2000,5,11,0.15786630562423043
5,2000,5,13,0.17390270140865935
7,500,3,7,0.10522011283529442
7,500,3,11,0.1255584505560868
7,500,3,13,0.13844182139115394
7,500,5,7,0.0281265118982222
7,500,5,11,0.06109778703162656
7,500,5,13,0.07490722819266751
7,1000,3,7,0.13988386814385145
7,1000,3,11,0.16121084705710442
7,1000,3,13,0.17179214819902272
7,1000,5,7,0.04328139543545088
7,1000,5,11,0.07923645803287284
7,1000,5,13,0.09647882570904877
7,2000,3,7,0.17626539343536798
7,2000,3,11,0.19515877853842534
7,2000,3,13,0.2085090210835174
7,2000,5,7,0.05585388350553224
7,2000,5,11,0.10035764068548977
7,2000,5,13,0.12139568564573013
9,500,3,7,0.05894135283319185
9,500,3,11,0.07935357231957846
9,500,3,13,0.08662274399502624
9,500,5,7,0.00993344540308717
9,500,5,11,0.026516018383648043
9,500,5,13,0.034030776983188696
9,1000,3,7,0.07596225162993277
9,1000,3,11,0.09993033139150684
9,1000,3,13,0.10848254272172819
9,1000,5,7,0.014968459959031422
9,1000,5,11,0.032724424426341124
9,1000,5,13,0.0411239008622861
9,2000,3,7,0.09925927457815718
9,2000,3,11,0.1281325265888497
9,2000,3,13,0.13768566199975762
9,2000,5,7,0.019975821364023417
9,2000,5,11,0.04289150227357637
9,2000,5,13,0.05306057893195801
